"ID","Accession","Origin","Species"
"1","PI 613125","Spain","carinata"
"2","PI 613128","Spain","carinata"
"3","PI 596534","Spain","carinata"
"4","PI 596535","Spain","carinata"
"5","PI 633080","Zambia","carinata"
"6","PI 597822","Sweden","carinata"
"7","PI 633075","Tanzania","carinata"
"8","PI 633076","Kenya","carinata"
"9","PI 597823","Turkey","deflexa"
"10","PI 649096","Iran","deflexa"
"11","PI 633082","France","fruticulosa"
"12","PI 597825","Algeria","fruticulosa"
"13","PI 649099","Algeria","fruticulosa"
"14","PI 662590","Algeria","gravinae"
"15","PI 662583","Algeria","gravinae"
"16","PI 597827","Algeria","gravinae"
"17","PI 633117","Algeria","maurorum"
"18","PI 649157","Portugal","oxyrrhina"
"19","PI 662687","Taiwan","rapa"
"20","PI 662688","Japan","rapa"
"21","PI 508408","South Korea","rapa"
"22","PI 662558","China","rapa"
"23","PI 687052","China","rapa"
"24","PI 662557","China","rapa"
"25","PI 662556","China","rapa"
"26","PI 662553","China","rapa"
"27","PI 662550","China","rapa"
"28","PI 662545","China","rapa"
"29","PI 633163","Sweden","rapa"
"30","PI 633169","Cuba","rapa"
"31","PI 597831","Egypt","rapa"
"32","PI 687065","India","rapa"
"33","G 30212","Spain","rapa"
"34","PI 633166","Nepal","rapa"
"35","PI 234600","Australia","rapa"
"36","PI 279857","Japan","rapa"
"37","PI 418959","China","rapa"
"38","PI 418958","China","rapa"
"39","PI 418957","China","rapa"
"40","PI 419074","China","rapa"
"41","PI 419069","China","rapa"
"42","PI 419028","China","rapa"
"43","PI 419027","China","rapa"
"44","PI 418987","China","rapa"
"45","PI 508429","South Korea","rapa"
"46","PI 508427","South Korea","rapa"
"47","PI 508416","South Korea","rapa"
"48","PI 508428","South Korea","rapa"
"49","PI 508425","South Korea","rapa"
"50","PI 508424","South Korea","rapa"
"51","PI 508420","South Korea","rapa"
"52","PI 508417","South Korea","rapa"
"53","PI 508422","South Korea","rapa"
"54","PI 508430","South Korea","rapa"
"55","PI 687129","United States","oleracea"
"56","PI 662840","Portugal","oleracea"
"57","PI 662586","Spain","oleracea"
"58","PI 662667","United Kingdom","oleracea"
"59","PI 320915","Hungary","oleracea"
"60","PI 169054","Turkey","oleracea"
"61","PI 171533","Turkey","oleracea"
"62","PI 143351","Iran","oleracea"
"63","PI 143358","Iran","oleracea"
"64","PI 141572","Iran","oleracea"
"65","PI 441511","Brazil","oleracea"
"66","PI 687080","Taiwan","oleracea"
"67","PI 662561","Netherlands","oleracea"
"68","PI 662538","Yemen","oleracea"
"69","PI 694037","Italy","oleracea"
"70","PI 508410","South Korea","oleracea"
"71","PI 662707","United Kingdom","oleracea"
"72","PI 443022","Norway","oleracea"
"73","PI 385953","Kenya","oleracea"
"74","PI 385954","Kenya","oleracea"
"75","PI 384428","India","oleracea"
"76","PI 372864","Denmark","oleracea"
"77","PI 662518","Netherlands","oleracea"
"78","PI 343480","United Kingdom","oleracea"
"79","PI 183214","Egypt","oleracea"
"80","PI 291567","Egypt","oleracea"
"81","PI 267721","United States","oleracea"
"82","PI 264331","Spain","oleracea"
"83","PI 244830","United States","oleracea"
"84","PI 241611","Australia","oleracea"
"85","PI 189028","Puerto Rico","oleracea"
"86","PI 188561","Colombia","oleracea"
"87","PI 662560","Poland","oleracea"
"88","PI 687095","United Kingdom","oleracea"
"89","PI 263057","Russia","oleracea"
"90","PI 687064","Kazakhstan","oleracea"
"91","PI 249534","Spain","oleracea"
"92","PI 209942","Australia","oleracea"
"93","PI 261775","France","oleracea"
"94","G 30714","United Kingdom","oleracea"
"95","PI 343674","Germany","oleracea"
"96","PI 662661","United Kingdom","oleracea"
"97","PI 662581","Canada","oleracea"
"98","G 28880","Italy","oleracea"
"99","PI 141576","Iran","oleracea"
"100","PI 662712","Italy","oleracea"
"101","PI 687047","Italy","oleracea"
"102","PI 662531","Italy","oleracea"
"103","PI 687082","Taiwan","oleracea"
"104","PI 687055","United States","oleracea"
"105","PI 687041","United States","oleracea"
"106","PI 662792","Armenia","oleracea"
"107","PI 662641","Kazakhstan","oleracea"
"108","PI 687074","Taiwan","oleracea"
"109","PI 662705","Serbia","oleracea"
"110","PI 687048","China","oleracea"
"111","PI 688226","United Kingdom","oleracea"
"112","PI 507854","Hungary","oleracea"
"113","PI 508411","South Korea","oleracea"
"114","PI 508413","South Korea","oleracea"
"115","PI 414936","South Africa","oleracea"
"116","PI 379108","North Macedonia","oleracea"
"117","PI 372913","Japan","oleracea"
"118","PI 358284","Ethiopia","oleracea"
"119","PI 344065","Turkey","oleracea"
"120","PI 343488","Sweden","oleracea"
"121","PI 343489","Uzbekistan","oleracea"
"122","PI 343494","Kazakhstan","oleracea"
"123","PI 343514","Romania","oleracea"
"124","PI 343529","Ukraine","oleracea"
"125","PI 343536","Georgia","oleracea"
"126","PI 343537","Armenia","oleracea"
"127","PI 343560","Bulgaria","oleracea"
"128","PI 343565","China","oleracea"
"129","PI 343576","Czech Republic","oleracea"
"130","PI 343630","Japan","oleracea"
"131","PI 343646","Netherlands","oleracea"
"132","PI 343664","Norway","oleracea"
"133","PI 343666","Serbia","oleracea"
"134","PI 303629","South Africa","oleracea"
"135","PI 302985","Canada","oleracea"
"136","PI 296331","South Africa","oleracea"
"137","PI 296209","United States","oleracea"
"138","PI 296132","United States","oleracea"
"139","PI 291998","Israel","oleracea"
"140","PI 289697","Australia","oleracea"
"141","PI 280067","Scotland","oleracea"
"142","PI 261642","Netherlands","oleracea"
"143","PI 229747","Iran","oleracea"
"144","PI 229470","Turkey","oleracea"
"145","PI 212080","Afghanistan","oleracea"
"146","PI 204680","Turkey","oleracea"
"147","G 28894","China","oleracea"
"148","G 28893","China","oleracea"
"149","G 30490","China","oleracea"
"150","PI 165067","Turkey","oleracea"
"151","PI 169053","Turkey","oleracea"
"152","PI 169050","Turkey","oleracea"
"153","PI 169044","Turkey","oleracea"
"154","PI 171536","Turkey","oleracea"
"155","PI 171529","Turkey","oleracea"
"156","PI 478332","China","juncea"
"157","PI 470082","South Korea","juncea"
"158","PI 436559","China","juncea"
"159","PI 432383","Bangladesh","juncea"
"160","PI 662697","Japan","juncea"
"161","PI 633099","United States","juncea"
"162","PI 662735","China","juncea"
"163","PI 649122","United States","juncea"
"164","PI 458928","Canada","juncea"
"165","G 30990","China","juncea"
"166","Ames 12769","Nepal","juncea"
"167","Ames 31505","South Korea","juncea"
"168","PI 603011","India","juncea"
"169","PI 662769","Germany","juncea"
"170","PI 662777","-","juncea"
"171","PI 633097","China","juncea"
"172","PI 662736","China","juncea"
"173","PI 633086","Russia","juncea"
"174","PI 633112","Cuba","juncea"
"175","PI 649120","Russia","juncea"
"176","PI 633114","North Korea","juncea"
"177","PI 633100","Pakistan","juncea"
"178","PI 634754","United States","napus"
"179","PI 619618","United States","napus"
"180","PI 610258","United States","napus"
"181","PI 605719","United States","napus"
"182","PI 633123","Mongolia","napus"
"183","PI 537090","South Korea","napus"
"184","PI 470005","Poland","napus"
"185","PI 649126","Canada","napus"
"186","Ames 30186","Tunisia","napus"
"187","PI 649127","Canada","napus"
"188","PI 251236","Pakistan","napus"
"189","Ames 18510","China","napus"
"190","PI 597352","United States","napus"
"191","Ames 26635","United States","napus"
"192","PI 649129","Canada","napus"
"193","PI 633122","Italy","napus"
"194","PI 594321","United States","napus"
"195","PI 633121","Poland","napus"
"196","PI 597828","Algeria","napus"
"197","PI 632742","Poland","napus"
